,question,golden_answer,answer,judge,model
2924,a drug that might be used in surgery for its amnesic properties is,benzodiazepines,"propofol. Propofol is a short-acting intravenous anesthetic drug used during surgical procedures to induce and maintain general anesthesia. It is also used to induce unconsciousness prior to the administration of other anesthetic agents and to provide sedation for short diagnostic and therapeutic procedures. Propofol has an amnesic effect, meaning it can cause temporary memory loss.",True,gpt35
2925,a single period of precession of earth's axis is completed in about,"approximately 26,000 years","A single period of precession of Earth's axis is completed in about 26,000 years.",True,gpt35
2926,who did johnny manziel play college football for,Texas A&M,Johnny Manziel played college football for Texas A&M University.,True,gpt35
2927,natural resources can be divided into what two categories,Biotic,"1. Renewable resources
2. Non-renewable resources",False,gpt35
2928,what is the white stork a symbol for in western culture,bringing babies to new parents,"In western culture, the white stork is a symbol of fertility, new life, and good fortune.",True,gpt35
2929,india south africa test series 2018 highest runs,286,"In the 2018 India–South Africa Test series, India's Cheteshwar Pujara scored the most runs, with his total of 521 runs in the three-Test series.",False,gpt35
2930,the oligodynamic effect is a phenomenon that describes,a biocidal effect of metals,"the antibacterial and antiviral properties of certain metals. It is caused by the release of metal ions from the metal surface in the presence of an electrolyte, such as water. These metal ions have a strong oxidizing effect on bacteria, viruses, and other microorganisms, destroying their cell walls and inhibiting their growth. The oligodynamic effect has been used for centuries to disinfect drinking water, swimming pools, and medical instruments. It is also used in modern products such as water filters and hand sanitizers.",True,gpt35
2932,when do you declare honors in contract bridge,any time after the auction,"Honors in contract bridge are declared during the trick-taking phase of the game. The player who wins the trick reveals their honors, if any, before the next trick is led.",False,gpt35
2935,who played sonny in lemony snicket's a series of unfortunate events,Presley Smith,The role of Sonny was played by Dylan Kingwell.,False,gpt35
2936,when was united nations convention on the rights of the child created,20 November 1989,The United Nations Convention on the Rights of the Child (UNCRC) was adopted by the United Nations General Assembly on 20 November 1989.,True,gpt35
2937,when did we decide to leave the eu,23 June 2016,"The UK voted to leave the EU in a referendum on June 23, 2016.",True,gpt35
2939,who plays chummy's mother in call the midwife,Cheryl Campbell,"Miriam Margolyes played Chummy's mother, Mrs. Noakes, in Call the Midwife.",False,gpt35
2940,who created separation of powers and checks and balances,Montesquieu in the Enlightenment,The concept of separation of powers and checks and balances was created by the French philosopher Montesquieu in the 18th century. He argued that power should be divided among different branches of government to prevent any one branch from becoming too powerful. This concept was later adopted by the Founding Fathers when they wrote the Constitution of the United States.,False,gpt35
2941,who was the nfl first draft pick 2017,Myles Garrett,"The first overall pick in the 2017 NFL Draft was Myles Garrett, a defensive end from Texas A&M University, who was selected by the Cleveland Browns.",True,gpt35
2942,when was nepal declared a secular state in bs,"January 15, 2007",Nepal was declared a secular state in 2008 BS (2065 AD).,False,gpt35
2943,who took control of jamestown and made new rules that made everyone work,John Smith,"John Smith took control of Jamestown and implemented a new set of rules, known as the ""Lawes Divine, Morall, and Martiall,"" that made everyone work. This included a requirement that all colonists work for the common good of the colony, and a ban on idleness, gambling, and drunkenness. Smith also established a system of trading with the local Native Americans, which helped to ensure the colony's survival.",True,gpt35
2944,the site of secretion of h+ and cl-,Parietal cells,The site of secretion of H+ and Cl- is the gastric parietal cells of the stomach.,True,gpt35
2945,when does body temperature tend to be lowest,11 p.m. to 3 a.m.,"Body temperature tends to be lowest in the early morning, before sunrise.",False,gpt35
2946,what us state forms the western boundary of montana,Idaho,Idaho.,True,gpt35
2947,what is the pirates of the caribbean in order,On Stranger Tides,"1. Pirates of the Caribbean: The Curse of the Black Pearl (2003)
2. Pirates of the Caribbean: Dead Man's Chest (2006)
3. Pirates of the Caribbean: At World's End (2007)
4. Pirates of the Caribbean: On Stranger Tides (2011)
5. Pirates of the Caribbean: Dead Men Tell No Tales (2017)",True,gpt35
2948,if a piece of music is perceived to have changed key then we say the piece has,transposed,"modulated. Modulation is the process of changing from one key to another within a piece of music. It is a common technique used to create tension, interest, and variety in a piece of music.",False,gpt35
2949,who was allowed to vote in the roman republic,unknown,"In the Roman Republic, only male citizens were allowed to vote. Women, slaves, and non-citizens were not allowed to vote.",True,gpt35
2951,blood alcohol concentration means the parts of alcohol in the blood in relation to what,volume of blood,"the blood can hold. It is a measure of the amount of alcohol in a person's bloodstream, and is used to determine whether a person is legally impaired.",False,gpt35
2952,which greek god flew too close to the sun,Icarus,"The Greek god Icarus is the one who flew too close to the sun. He was warned by his father Daedalus not to fly too close, but Icarus ignored his warning and flew too close, melting the wax that held his wings together and causing him to fall into the sea.",True,gpt35
2953,when did the song rapper's delight come out,1979,"The song ""Rapper's Delight"" by The Sugarhill Gang was released in September 1979.",True,gpt35
2954,when does the stock market open in hong kong,09:15,The Hong Kong Stock Exchange opens at 9:30am local time.,False,gpt35
2956,what mlb teams did deion sanders play for,San Francisco Giants,"Deion Sanders played for the New York Yankees, Atlanta Braves, Cincinnati Reds, San Francisco Giants, and the Baltimore Orioles in Major League Baseball (MLB).",True,gpt35
2957,how much money did the film titanic make,$2.18 billion,"The 1997 film Titanic grossed over $2.1 billion at the worldwide box office, making it the highest-grossing film of all time until Avatar was released in 2009.",True,gpt35
2958,when does it's a wonderful life comes on,Christmas season,"It's a Wonderful Life usually airs on television in the United States around Christmas time, usually in late December. It is usually aired on broadcast networks such as NBC, ABC, and CBS.",True,gpt35
2959,where does the last name hansen come from,Norway,"The last name Hansen is a patronymic surname, derived from the given name Hans, which is a form of the Hebrew name John. It is a very common surname in Scandinavia, and is also found in other countries with Scandinavian influence, such as Germany and the United States.",True,gpt35
2960,what is the symbol for christmas in brazil,Nativity scene,"In Brazil, the symbol for Christmas is a star.",False,gpt35
2961,who sings she's like the wind lyrics,Wendy Fraser,"The song ""She's Like the Wind"" was written and performed by Patrick Swayze.",True,gpt35
2962,where does the this is us family live,Pittsburgh,"The Pearson family lives in Pittsburgh, Pennsylvania.",True,gpt35
2963,when was the term prime minister first used,1624,"The term ""prime minister"" was first used in England in the late 17th century, with the earliest recorded usage in 1667.",False,gpt35
2964,who won the mens single ice skating 2018,Yuzuru Hanyu,The 2018 Men's Single Ice Skating Olympic gold medal was won by Yuzuru Hanyu of Japan.,True,gpt35
2965,what is cain and abel software used for,password recovery,"Cain and Abel is a password recovery tool for Windows. It allows users to recover lost passwords for various types of files, including network passwords, MSN Messenger passwords, RAS/dial-up passwords, and more. It can also be used to crack encrypted passwords using a variety of methods, including dictionary and brute force attacks.",True,gpt35
2967,what channel is abc on in phoenix arizona,15,"ABC is on channel 15 in Phoenix, Arizona.",True,gpt35
2968,who played jennifer in back to the future,Claudia Grace Wells,The actress who played Jennifer in Back to the Future is Claudia Wells.,True,gpt35
2969,where was the summer olympics held in 2012,London,"The 2012 Summer Olympics were held in London, England.",True,gpt35
2970,who cooks for the president of the united states,Cristeta Comerford,"The White House Executive Chef is responsible for the preparation of all meals for the President, First Family, and White House guests. The Executive Chef is appointed by the President.",True,gpt35
2971,who was the first indian to be appointed as a judge in the international court of justice,Sir Benegal Narsing Rau,The first Indian to be appointed as a judge in the International Court of Justice was Justice Nagendra Singh. He was appointed in 1971 and served until 1988.,False,gpt35
2972,where was the film coming home for christmas filmed,British Columbia,The film was filmed in the United Kingdom.,False,gpt35
2974,who played the middle sister on full house,Jodie Sweetin,The middle sister on Full House was played by actress Candace Cameron Bure.,False,gpt35
2975,a 58-story skyscraper in san francisco is tilting and sinking,Millennium Tower,"The Millennium Tower, a 58-story skyscraper in San Francisco, is indeed tilting and sinking due to a variety of factors. The building, which opened in 2009, has sunk 16 inches and tilted 14 inches to the northwest. The cause of the tilt and sink is believed to be a combination of the building’s foundation and the soil beneath it, which is unable to support its weight. The building’s developer has been sued by the homeowners association as a result of the tilt and sink, and the San Francisco Department of Building Inspection has also launched an investigation into the matter.",True,gpt35
